Read.Length	Read.Count
47	1
51	1
52	1
56	1
63	1
64	1
68	1
70	1
71	2
75	1
93	1
113	1
114	1
130	1
134	2
146	1
154	1
173	1
178	1
179	1
181	1
184	1
187	1
190	1
200	1
201	2
204	1
205	1
206	1
207	1
208	3
210	1
211	2
212	3
215	1
216	2
217	1
219	2
220	2
223	1
230	1
231	2
235	1
237	1
239	2
241	2
242	1
243	2
245	1
249	1
251	3
252	2
253	1
255	1
258	3
263	1
269	1
270	1
273	2
274	1
277	2
278	2
279	1
281	2
283	1
284	1
287	1
289	2
290	1
291	1
293	1
294	1
296	2
297	1
298	1
299	1
300	1
301	1
303	1
304	1
305	1
309	1
312	2
313	1
315	1
316	1
318	1
319	2
320	4
322	1
323	1
324	2
325	1
329	1
330	1
332	1
334	2
338	1
342	1
343	1
344	3
346	1
347	1
350	1
355	2
358	1
359	1
366	2
367	1
369	2
373	1
374	1
379	1
381	1
386	1
387	3
388	3
389	1
391	2
393	2
395	2
400	1
401	2
402	2
403	2
404	1
405	2
407	1
410	2
413	1
415	2
416	1
417	1
418	3
421	1
422	1
426	1
428	1
430	2
431	1
432	1
433	2
436	1
437	1
440	2
441	1
442	1
443	1
444	3
446	1
447	1
449	1
452	1
453	2
456	2
458	1
460	1
462	1
463	4
465	2
467	1
470	1
471	2
474	2
475	1
476	1
477	1
478	1
481	1
482	1
483	1
484	1
485	1
490	1
492	2
495	1
497	1
499	2
500	1
502	1
508	1
509	1
516	1
517	1
519	2
523	2
525	1
526	1
527	2
529	1
535	1
538	1
541	1
542	1
546	1
549	2
550	1
551	1
553	2
556	1
557	3
559	1
561	3
564	4
566	2
568	1
569	2
570	1
573	3
578	1
580	1
581	1
582	1
583	1
585	2
586	1
588	1
589	2
590	1
592	1
594	1
595	1
598	1
603	1
604	1
605	1
607	2
609	1
610	2
611	3
612	2
615	1
617	1
618	1
619	2
620	1
623	1
624	1
627	1
629	1
631	1
633	1
635	1
636	1
637	2
638	2
639	1
640	2
643	1
644	1
646	1
647	1
648	1
649	1
650	1
651	1
658	2
660	1
661	2
662	2
664	1
665	1
666	1
667	1
672	1
674	1
675	1
676	1
678	2
679	1
680	1
681	1
683	2
686	3
689	1
690	1
692	1
693	4
695	1
696	2
697	1
698	1
700	2
702	1
706	1
709	1
710	1
711	1
714	1
716	3
717	2
721	1
722	2
724	1
725	2
727	2
728	4
730	2
732	1
733	3
735	1
736	1
737	1
739	1
741	1
742	1
744	1
748	3
749	1
751	1
753	1
758	1
759	1
760	1
761	3
762	2
765	1
766	3
767	1
768	2
771	2
774	2
781	1
782	1
785	2
791	2
792	1
795	3
796	1
800	2
802	1
803	1
804	3
805	2
806	1
807	1
812	1
813	2
814	1
815	1
816	3
817	1
818	1
820	1
825	1
827	2
829	1
830	3
831	2
833	1
836	1
837	2
839	2
844	2
846	1
847	1
848	1
849	1
850	1
851	1
852	2
854	1
856	2
857	2
859	2
860	1
862	1
864	1
867	2
869	1
870	1
872	1
873	1
875	3
876	1
878	1
883	2
885	1
887	1
888	1
889	1
890	2
892	1
895	1
897	1
898	1
899	2
901	3
902	2
903	3
904	2
905	2
907	1
908	2
909	1
910	2
912	2
913	1
915	1
917	1
920	1
921	1
924	2
925	1
926	1
928	1
933	1
940	1
941	1
942	1
945	2
948	1
949	2
951	1
953	2
954	1
955	1
962	1
963	4
967	1
968	1
969	1
970	1
972	1
974	2
975	3
976	1
978	1
981	1
982	1
983	1
984	1
985	1
987	2
989	1
991	1
992	2
994	1
996	1
997	1
999	2
1003	1
1006	1
1007	3
1008	1
1010	1
1015	2
1021	1
1022	2
1027	2
1028	2
1029	1
1031	1
1034	2
1036	2
1038	3
1039	1
1041	1
1042	1
1043	2
1044	2
1045	1
1046	2
1048	1
1049	1
1051	1
1052	1
1055	2
1056	1
1057	2
1059	1
1062	1
1066	1
1067	1
1068	1
1069	2
1071	1
1073	2
1074	1
1076	1
1077	1
1080	1
1081	2
1083	2
1085	2
1086	2
1088	6
1091	1
1092	1
1093	1
1094	1
1095	2
1098	3
1099	1
1102	1
1104	2
1105	2
1106	1
1110	2
1112	1
1113	1
1114	1
1115	1
1118	1
1119	2
1122	2
1123	1
1124	1
1125	1
1126	1
1128	1
1130	1
1131	1
1132	3
1133	1
1138	2
1140	1
1141	2
1143	2
1144	2
1145	1
1146	1
1148	1
1150	1
1151	1
1153	1
1154	1
1155	1
1157	2
1161	1
1164	1
1165	1
1167	1
1168	1
1169	1
1170	1
1171	1
1172	2
1173	1
1175	1
