Time	Read.Length	Read.Count
0	47	1
0	210	1
0	255	1
0	387	1
0	463	1
0	561	1
0	611	1
0	629	1
0	665	1
0	733	1
0	744	1
0	806	1
0	836	1
0	864	1
0	904	1
0	974	1
0	1008	1
0	1038	1
0	1044	1
0	1088	1
0	1125	1
0	1171	1
0	1223	1
0	1231	1
0	1240	1
0	1259	1
0	1263	1
0	1268	1
0	1326	1
0	1464	1
0	1490	1
0	1494	1
0	1505	1
0	1610	1
0	1642	1
0	1651	1
0	1692	1
0	1743	1
0	1763	1
0	1783	1
0	1796	1
0	1824	1
0	1833	1
0	1877	1
0	1882	1
0	1885	1
0	1893	1
0	1920	1
0	1935	1
0	1937	1
0	1940	1
0	1941	1
0	1946	1
0	1957	1
0	1975	1
0	1983	1
0	1987	1
0	1994	1
0	1995	1
0	1997	1
0	2005	1
0	2009	1
0	2011	1
0	2014	1
0	2021	2
0	2022	1
0	2023	1
0	2024	1
0	2025	1
0	2026	1
0	2028	1
0	2032	1
0	2033	3
0	2034	1
0	2041	1
0	2042	2
0	2050	1
0	2051	2
0	2052	1
0	2053	1
0	2055	3
0	2057	1
0	2060	1
0	2061	1
0	2062	2
0	2063	1
0	2067	2
0	2071	2
0	2073	2
0	2076	1
0	2077	1
0	2078	1
0	2079	3
0	2080	2
0	2081	1
0	2082	2
0	2084	2
0	2085	1
0	2086	1
0	2087	1
0	2088	3
0	2089	2
0	2090	3
0	2091	3
0	2092	2
0	2094	1
0	2095	1
0	2096	1
0	2097	2
0	2098	1
0	2099	2
0	2100	2
0	2102	1
0	2103	1
0	2104	1
0	2105	3
0	2106	3
0	2107	1
0	2108	2
0	2109	2
0	2110	3
0	2111	2
0	2112	4
0	2113	1
0	2114	3
0	2115	2
0	2116	3
0	2117	2
0	2118	1
0	2119	2
0	2120	3
0	2121	3
0	2122	3
0	2123	5
0	2124	1
0	2125	1
0	2126	2
0	2127	3
0	2128	5
0	2129	4
0	2130	4
0	2131	3
0	2132	9
0	2133	5
0	2134	3
0	2135	2
0	2136	3
0	2137	4
0	2138	3
0	2139	6
0	2140	8
0	2141	5
0	2142	3
0	2143	4
0	2144	2
0	2145	3
0	2146	7
0	2147	9
0	2148	3
0	2149	2
0	2150	12
0	2151	8
0	2152	5
0	2153	7
0	2154	6
0	2155	5
0	2156	6
0	2157	6
0	2158	7
0	2159	2
0	2160	5
0	2161	2
0	2162	10
0	2163	6
0	2164	7
0	2165	7
0	2166	7
0	2167	5
0	2168	8
0	2169	16
0	2170	8
0	2171	5
0	2172	12
0	2173	10
0	2174	4
0	2175	12
0	2176	9
0	2177	12
0	2178	11
0	2179	17
0	2180	13
0	2181	16
0	2182	16
0	2183	18
0	2184	13
0	2185	13
0	2186	14
0	2187	17
0	2188	16
0	2189	17
0	2190	22
0	2191	18
0	2192	14
0	2193	10
0	2194	9
0	2195	6
0	2196	7
0	2197	8
0	2198	3
0	2199	5
0	2200	8
0	2201	12
0	2202	4
0	2203	4
0	2204	5
0	2205	12
0	2206	17
0	2207	4
0	2208	10
0	2209	7
0	2210	3
0	2211	19
0	2212	6
0	2213	14
0	2214	15
0	2215	7
0	2216	6
0	2217	15
0	2218	8
0	2219	12
0	2220	5
0	2221	3
0	2222	7
0	2223	3
0	2224	1
0	2226	2
0	2227	2
0	2228	1
0	2230	1
0	2236	2
0	2239	1
0	2247	1
0	2253	1
0	2257	1
0	2273	1
0	2275	1
0	2278	1
0	2284	1
0	2287	1
0	2289	1
0	2696	1
12	219	1
12	249	1
12	296	1
12	324	1
12	334	1
12	343	1
12	350	1
12	374	1
12	391	1
12	407	1
12	433	1
12	440	1
12	456	1
12	492	1
12	495	1
12	509	1
12	523	1
12	607	1
12	678	1
12	679	1
12	709	1
12	816	1
12	829	1
12	889	1
12	905	1
12	976	1
12	1066	1
12	1073	1
12	1086	1
12	1118	1
12	1141	1
12	1143	1
12	1179	1
12	1210	1
12	1229	1
12	1301	1
12	1330	1
12	1341	1
12	1345	1
12	1368	1
12	1402	1
12	1484	1
12	1538	1
12	1553	1
12	1554	1
12	1595	1
12	1600	1
12	1660	1
12	1687	2
12	1688	1
12	1709	1
12	1758	1
12	1786	1
12	1800	1
12	1802	1
12	1838	1
12	1839	1
12	1846	1
12	1848	1
12	1849	1
12	1871	1
12	1887	1
12	1896	1
12	1899	1
12	1909	1
12	1916	1
12	1917	1
12	1920	1
12	1921	1
12	1931	1
12	1943	1
12	1961	1
12	1969	1
12	1970	1
12	1972	1
12	1973	1
12	1979	1
12	1986	1
12	1989	1
12	1991	1
12	1997	1
12	2008	1
12	2012	2
12	2017	1
12	2022	1
12	2025	1
12	2026	1
12	2027	1
12	2028	1
12	2031	1
12	2033	1
12	2035	1
12	2036	1
12	2038	1
12	2040	1
12	2041	1
12	2042	1
12	2043	1
12	2045	1
12	2048	1
12	2050	1
12	2051	3
12	2052	2
12	2053	1
12	2057	1
12	2058	1
12	2059	3
12	2062	3
12	2063	1
12	2064	3
12	2067	6
12	2071	1
12	2073	1
12	2074	1
12	2075	2
12	2076	2
12	2077	1
12	2080	4
12	2081	1
12	2082	1
12	2085	3
12	2086	3
12	2087	1
12	2089	1
12	2090	2
12	2092	2
12	2093	3
12	2094	2
12	2095	1
12	2096	2
12	2097	1
12	2099	1
12	2100	1
12	2102	2
12	2103	3
12	2104	2
12	2107	3
12	2108	1
12	2109	2
12	2110	1
12	2111	1
12	2112	4
12	2113	3
12	2114	3
12	2115	1
12	2116	1
12	2117	1
12	2118	5
12	2119	1
12	2120	2
12	2121	1
12	2122	4
12	2123	4
12	2124	4
12	2125	7
12	2126	2
12	2127	2
12	2128	1
12	2129	4
12	2130	3
12	2131	5
12	2132	2
12	2133	6
12	2135	1
12	2137	3
12	2138	3
12	2139	2
12	2140	5
12	2141	4
12	2142	1
12	2143	6
12	2144	6
12	2145	4
12	2146	4
12	2147	2
12	2148	8
12	2149	4
12	2150	2
12	2151	4
12	2152	4
12	2154	8
12	2155	4
12	2156	5
12	2157	2
12	2158	2
12	2159	5
12	2160	2
12	2161	6
12	2162	4
12	2163	3
12	2164	4
12	2165	3
12	2166	6
12	2167	4
12	2168	4
12	2169	10
12	2170	7
12	2171	7
12	2172	9
12	2173	10
12	2174	13
12	2175	6
12	2176	4
12	2177	7
12	2178	12
12	2179	7
12	2180	6
12	2181	13
12	2182	10
12	2183	10
12	2184	12
12	2185	12
12	2186	11
12	2187	9
12	2188	17
12	2189	11
12	2190	16
12	2191	11
12	2192	11
12	2193	9
12	2194	4
12	2195	8
12	2196	11
12	2197	9
12	2198	9
12	2199	9
12	2200	8
12	2201	9
12	2202	16
12	2203	9
12	2204	10
12	2205	8
12	2206	9
12	2207	8
12	2208	7
12	2209	9
12	2210	11
12	2211	20
12	2212	11
12	2213	16
12	2214	18
12	2215	16
12	2216	14
12	2217	12
12	2218	21
12	2219	13
12	2220	8
12	2221	9
12	2222	13
12	2223	12
12	2224	10
12	2225	7
12	2226	4
12	2227	1
12	2228	1
12	2229	2
12	2233	1
12	2235	1
12	2236	1
12	2237	1
12	2238	1
12	2239	2
12	2240	1
12	2242	1
12	2245	1
12	2248	1
12	2253	1
12	2255	1
12	2265	1
12	2275	1
12	2280	1
12	2298	1
12	2299	1
12	2318	1
12	2321	1
12	2421	1
12	3999	1
24	201	1
24	334	1
24	405	1
